model,within,outside
axxl-property,-0.07642970234155655,-0.0909963846206665
axxl-property,-0.244098961353302,-1.0315020084381104
axxl-property,-0.07020338624715805,-0.4079572260379791
axxl-property,-0.05505573749542236,-0.5107094645500183
axxl-property,-0.6792489290237427,-0.12208029627799988
axxl-property,-0.6891070604324341,-0.09203670918941498
axxl-property,-0.3531833589076996,-0.3986625373363495
axxl-property,-0.42197185754776,-1.0740309953689575
axxl-property,-0.10421770066022873,-0.43521150946617126
axxl-property,-0.2164015769958496,-0.593176007270813
axxl-property,-0.6576176285743713,-0.4647241234779358
axxl-property,-0.6689313650131226,-0.6392593383789062
axxl-property,-0.46499913930892944,-0.48510879278182983
axxl-property,-0.7461907863616943,-0.3232360780239105
axxl-property,-0.4484940767288208,-0.4311833381652832
axxl-property,-0.3461209237575531,-0.5496163964271545
axxl-property,-0.5289884209632874,-0.47435903549194336
axxl-property,-0.5001149773597717,-0.5425390005111694
axxl-property,-0.891398549079895,-1.1511842012405396
axxl-property,-0.6528115272521973,-1.0588798522949219
axxl-property,-0.3144012987613678,-0.36629167199134827
axxl-property,-0.2981642782688141,-0.6530864834785461
axxl-property,-0.9207433462142944,-0.6435005068778992
axxl-property,-0.6074271202087402,-0.4549505412578583
axxl-property,-0.1597656011581421,-0.2046510875225067
axxl-property,-0.3343164324760437,-0.5743044018745422
axxl-property,-0.2521911561489105,-0.4243066608905792
axxl-property,-0.2620828151702881,-0.4277159869670868
axxl-property,-0.3318157494068146,-0.2455356866121292
axxl-property,-0.3726852536201477,-0.2692669630050659
axxl-property,-0.25362643599510193,-0.2873065769672394
axxl-property,-0.21376946568489075,-0.4009130299091339
axxl-property,-0.13076657056808472,-0.29630735516548157
axxl-property,-0.12862540781497955,-0.3491913676261902
axxl-property,-0.44317492842674255,-0.4034351706504822
axxl-property,-0.6141237020492554,-0.4201323091983795
axxl-property,-0.6722394824028015,-1.026026725769043
axxl-property,-0.6432843208312988,-1.0705335140228271
axxl-property,-0.5297881960868835,-1.0661342144012451
axxl-property,-0.5506799817085266,-0.7387670278549194
axxl-property,-0.6115798950195312,-0.5791271924972534
axxl-property,-0.48409777879714966,-0.5010499954223633
axxl-property,-0.4382702708244324,-0.47678008675575256
axxl-property,-0.7821465134620667,-0.7599035501480103
axxl-property,-0.5588192343711853,-0.603168785572052
axxl-property,-0.9380528926849365,-0.981831431388855
axxl-property,-0.5391983985900879,-0.6891608834266663
axxl-property,-0.41993221640586853,-0.5185600519180298
bl-property,-0.16249580681324005,-0.18184415996074677
bl-property,-0.10372846573591232,-0.38194942474365234
bl-property,-0.06434012204408646,-0.18630602955818176
bl-property,-0.052968841046094894,-0.20196281373500824
bl-property,-0.2405993640422821,-0.11484180390834808
bl-property,-0.25929325819015503,-0.14210231602191925
bl-property,-0.28838905692100525,-0.49621501564979553
bl-property,-0.27450132369995117,-0.6489349603652954
bl-property,-0.2212708741426468,-0.5402118563652039
bl-property,-0.19143438339233398,-0.32124900817871094
bl-property,-0.25632157921791077,-0.27023494243621826
bl-property,-0.536693274974823,-0.5675437450408936
bl-property,-0.2186117023229599,-0.29048487544059753
bl-property,-0.15900728106498718,-0.4905911982059479
bl-property,-0.1809433549642563,-0.5078689455986023
bl-property,-0.11700406670570374,-0.32704970240592957
bl-property,-0.3127433955669403,-0.3517211377620697
bl-property,-0.41223907470703125,-0.5278732776641846
bl-property,-1.1228119134902954,-0.9421111345291138
bl-property,-0.39284297823905945,-0.41919803619384766
bl-property,-0.45108234882354736,-0.4693239629268646
bl-property,-0.3681305944919586,-0.46273425221443176
bl-property,-0.2344718724489212,-0.3156076669692993
bl-property,-0.60300213098526,-0.8815634250640869
bl-property,-0.37614020705223083,-0.5044323205947876
bl-property,-0.284317284822464,-0.48665231466293335
bl-property,-0.29476863145828247,-0.48099276423454285
bl-property,-0.4356675148010254,-0.5918973088264465
bl-property,-0.44234779477119446,-0.49714693427085876
bl-property,-0.38083329796791077,-0.44761717319488525
bl-property,-0.17323075234889984,-0.2672719955444336
bl-property,-0.15616029500961304,-0.5953464508056641
bl-property,-0.1223616674542427,-0.3941670060157776
bl-property,-0.14908047020435333,-0.4600890278816223
bl-property,-0.43292492628097534,-0.5613630414009094
bl-property,-0.5539553165435791,-0.6969966292381287
bl-property,-0.6437742114067078,-0.6605854630470276
bl-property,-0.211488276720047,-0.4535703659057617
bl-property,-0.3569098114967346,-0.7322244644165039
bl-property,-0.20191611349582672,-0.5160890817642212
bl-property,-0.4805547893047333,-0.5127122402191162
bl-property,-0.479397714138031,-0.4630643427371979
bl-property,-0.8935640454292297,-1.027653455734253
bl-property,-0.5760334134101868,-0.4828621447086334
bl-property,-0.7077218890190125,-0.5054563879966736
bl-property,-0.3891233503818512,-0.4104115664958954
bl-property,-0.5650319457054138,-1.0434907674789429
bl-property,-0.7679316401481628,-1.1757628917694092
rl-property,-0.2912593185901642,-0.36328044533729553
rl-property,-0.20198513567447662,-0.6218758821487427
rl-property,-0.15332619845867157,-0.44436460733413696
rl-property,-0.11840032786130905,-0.37664368748664856
rl-property,-0.6026671528816223,-0.588070809841156
rl-property,-0.531123161315918,-0.6096876859664917
rl-property,-0.20213991403579712,-0.15986976027488708
rl-property,-0.18340624868869781,-0.3833600878715515
rl-property,-0.11055050790309906,-0.26602157950401306
rl-property,-0.09495744109153748,-0.38472774624824524
rl-property,-0.4273010790348053,-0.3255065381526947
rl-property,-0.3352864384651184,-0.24835637211799622
rl-property,-0.3420599400997162,-0.4299990236759186
rl-property,-0.2887002229690552,-1.0413166284561157
rl-property,-0.19998672604560852,-0.5628708600997925
rl-property,-0.1287686675786972,-0.6333715319633484
rl-property,-0.3037509024143219,-0.2532116174697876
rl-property,-0.3447228968143463,-0.3545135259628296
rl-property,-0.4576992094516754,-0.34206873178482056
rl-property,-0.2830527126789093,-0.6681188344955444
rl-property,-0.13195179402828217,-0.34747716784477234
rl-property,-0.16194216907024384,-0.688082218170166
rl-property,-0.5331607460975647,-0.4854370355606079
rl-property,-0.3686971068382263,-0.32454681396484375
rl-property,-1.1929208040237427,-1.5388249158859253
rl-property,-0.3156082332134247,-0.7152280211448669
rl-property,-0.2687605023384094,-0.48653101921081543
rl-property,-0.4009265601634979,-0.7243190407752991
rl-property,-0.6841937899589539,-0.26470398902893066
rl-property,-0.5579094886779785,-0.3215716779232025
rl-property,-0.24779553711414337,-0.2791305184364319
rl-property,-0.26484814286231995,-0.5705658793449402
rl-property,-0.14210273325443268,-0.3602270185947418
rl-property,-0.07202885299921036,-0.26510971784591675
rl-property,-0.34253624081611633,-0.3206658661365509
rl-property,-0.4503951072692871,-0.4711483418941498
rl-property,-0.623667299747467,-0.5807585120201111
rl-property,-0.19166520237922668,-0.4693869650363922
rl-property,-0.18393288552761078,-0.4394706189632416
rl-property,-0.12631168961524963,-0.4708830714225769
rl-property,-1.6881883144378662,-1.8395434617996216
rl-property,-0.36286428570747375,-0.46361976861953735
rl-property,-0.411854088306427,-0.3129456341266632
rl-property,-0.248368039727211,-0.49957016110420227
rl-property,-0.2971685826778412,-0.4817489981651306
