trial,model,property,category,n,similarity_within,similarity_similar,similarity_random,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
54,bl-property,can dax,mammal.n.01,4,0.42824047803878784,0.4355631470680237,0.3858022093772888,0.42671334743499756,0.2768481373786926,0.25303971767425537,3,-0.06313013285398483,-0.13820239901542664,-0.22111369669437408
55,bl-property,can dax,mammal.n.01,5,0.46505045890808105,0.4868144094944,0.43863242864608765,0.40829795598983765,0.27605071663856506,0.2591107487678528,2,-0.08578519523143768,-0.18907137215137482,-0.2584012746810913
56,bl-property,can dax,mammal.n.01,1,0.33433210849761963,0.3613511025905609,0.3287167251110077,0.47081997990608215,0.2756633460521698,0.2831036150455475,1,-0.1670856922864914,-0.43844643235206604,-0.5124622583389282
57,bl-property,can dax,mammal.n.01,2,0.4169381558895111,0.46814656257629395,0.4271753132343292,0.3974466621875763,0.2616886794567108,0.24819891154766083,2,-0.0905567854642868,-0.2292630672454834,-0.2864609360694885
58,bl-property,can dax,mammal.n.01,3,0.4430333375930786,0.5122737288475037,0.46163639426231384,0.41051357984542847,0.2537730932235718,0.2647281587123871,2,-0.11198244243860245,-0.2889581322669983,-0.40085193514823914
59,bl-property,can dax,mammal.n.01,4,0.45650291442871094,0.511420488357544,0.4615827798843384,0.42201927304267883,0.25902217626571655,0.2578132152557373,1,-0.1495266556739807,-0.4023851454257965,-0.49384361505508423
60,bl-property,can dax,mammal.n.01,5,0.4761582612991333,0.545686662197113,0.48985016345977783,0.4355446398258209,0.2605798542499542,0.26112881302833557,2,-0.0897851437330246,-0.22409047186374664,-0.2434447556734085
61,bl-property,can dax,mammal.n.01,1,0.3301941752433777,0.34258201718330383,0.315014123916626,0.40967845916748047,0.2532918453216553,0.255249559879303,1,-0.15409140288829803,-0.4432644248008728,-0.4640255868434906
62,bl-property,can dax,mammal.n.01,2,0.3658459186553955,0.38679274916648865,0.35466399788856506,0.4276508688926697,0.2594914734363556,0.25173938274383545,1,-0.14181236922740936,-0.3951064944267273,-0.40790432691574097
63,bl-property,can dax,mammal.n.01,3,0.42764219641685486,0.46480605006217957,0.4267028868198395,0.42768803238868713,0.27017220854759216,0.2692188322544098,2,-0.08816558122634888,-0.24680404365062714,-0.2668733298778534
64,bl-property,can dax,mammal.n.01,4,0.448792040348053,0.48285236954689026,0.4415484070777893,0.43117207288742065,0.2723489999771118,0.2599145174026489,4,-0.044023964554071426,-0.08923373371362686,-0.09307337552309036
65,bl-property,can dax,mammal.n.01,5,0.47624289989471436,0.5197200775146484,0.47500017285346985,0.4118628203868866,0.27099162340164185,0.25703224539756775,4,-0.04771379753947258,-0.0936535969376564,-0.1363852471113205
66,bl-property,can dax,mammal.n.01,1,0.33861732482910156,0.35893234610557556,0.33064761757850647,0.42809563875198364,0.2607690989971161,0.2610219120979309,3,-0.07634782046079636,-0.20373037457466125,-0.2224739044904709
67,bl-property,can dax,mammal.n.01,2,0.43599051237106323,0.48509088158607483,0.4400758445262909,0.452800452709198,0.29026666283607483,0.28413984179496765,2,-0.08731326460838318,-0.2560579478740692,-0.26511913537979126
68,bl-property,can dax,mammal.n.01,3,0.45113441348075867,0.5010623335838318,0.4566251337528229,0.4377628564834595,0.2806203067302704,0.2950831949710846,3,-0.05543090030550957,-0.13598252832889557,-0.12280755490064621
69,bl-property,can dax,mammal.n.01,4,0.4670372009277344,0.5092016458511353,0.4539431631565094,0.4307313561439514,0.2757907211780548,0.28523942828178406,3,-0.04915793240070343,-0.1041833683848381,-0.11616027355194092
70,bl-property,can dax,mammal.n.01,5,0.47598797082901,0.505145251750946,0.4560357928276062,0.42286258935928345,0.26690810918807983,0.26567691564559937,3,-0.055523261427879333,-0.135704904794693,-0.13163836300373077
71,bl-property,can dax,mammal.n.01,1,0.3237378001213074,0.4012317657470703,0.3599095642566681,0.4311625361442566,0.26284781098365784,0.2811200022697449,1,-0.16567909717559814,-0.5380010008811951,-0.5113802552223206
72,bl-property,can dax,mammal.n.01,2,0.394430011510849,0.43889886140823364,0.39965781569480896,0.457568883895874,0.28079983592033386,0.28776654601097107,2,-0.09087644517421722,-0.2749287784099579,-0.2404782772064209
73,bl-property,can dax,mammal.n.01,3,0.4341687858104706,0.46231964230537415,0.41574347019195557,0.46017858386039734,0.2729867696762085,0.26503118872642517,1,-0.14228050410747528,-0.4259164035320282,-0.47908052802085876
74,bl-property,can dax,mammal.n.01,4,0.4582252502441406,0.4792824685573578,0.4432634115219116,0.447623074054718,0.2704884707927704,0.26201531291007996,2,-0.08803976327180862,-0.21140627562999725,-0.23661842942237854
75,bl-property,can dax,mammal.n.01,5,0.48364266753196716,0.5181888341903687,0.4680215120315552,0.4557766020298004,0.2749524712562561,0.28547203540802,2,-0.07849740236997604,-0.20695781707763672,-0.2140340358018875
76,bl-property,can dax,mammal.n.01,1,0.28089389204978943,0.2859676480293274,0.2533913850784302,0.42297402024269104,0.2583364248275757,0.2470739185810089,2,-0.10926910489797592,-0.3370782434940338,-0.24844451248645782
77,bl-property,can dax,mammal.n.01,2,0.3911941945552826,0.3977891504764557,0.3549368977546692,0.4387383460998535,0.27276843786239624,0.2600381672382355,1,-0.14807695150375366,-0.42719388008117676,-0.4514724910259247
78,bl-property,can dax,mammal.n.01,3,0.4533638060092926,0.48049652576446533,0.4447546899318695,0.43530163168907166,0.2722947299480438,0.2589530944824219,1,-0.1466013789176941,-0.39692679047584534,-0.488811731338501
79,bl-property,can dax,mammal.n.01,4,0.47915300726890564,0.5270522236824036,0.4716774523258209,0.43953558802604675,0.2735673785209656,0.27234387397766113,1,-0.1433255821466446,-0.3605837821960449,-0.47728362679481506
80,bl-property,can dax,mammal.n.01,5,0.49584516882896423,0.5327531099319458,0.4916532337665558,0.42942506074905396,0.2657015025615692,0.2519390881061554,2,-0.0968792513012886,-0.23448224365711212,-0.2517061233520508
81,bl-property,can dax,mammal.n.01,1,0.3847446143627167,0.4684261679649353,0.4078117609024048,0.477638840675354,0.30889633297920227,0.3237340450286865,2,-0.11191283911466599,-0.3166748881340027,-0.32176676392555237
82,bl-property,can dax,mammal.n.01,2,0.41519850492477417,0.4744633734226227,0.41561728715896606,0.46156206727027893,0.2991246283054352,0.2974884510040283,2,-0.08888734877109528,-0.25354838371276855,-0.26819300651550293
83,bl-property,can dax,mammal.n.01,3,0.446024090051651,0.4894399642944336,0.4347646236419678,0.46472930908203125,0.293837308883667,0.3060629367828369,1,-0.13733945786952972,-0.3748931586742401,-0.4719991683959961
84,bl-property,can dax,mammal.n.01,4,0.4704706370830536,0.502949059009552,0.4618053138256073,0.4653007686138153,0.2856053411960602,0.28811725974082947,2,-0.08811160176992416,-0.2331509292125702,-0.27255845069885254
85,bl-property,can dax,mammal.n.01,5,0.47455695271492004,0.49617138504981995,0.446563720703125,0.45221638679504395,0.2775956392288208,0.25904256105422974,2,-0.08435257524251938,-0.20335815846920013,-0.20544826984405518
86,bl-property,can dax,mammal.n.01,1,0.36760836839675903,0.442405104637146,0.3917864263057709,0.48153313994407654,0.2757419943809509,0.2668296694755554,1,-0.17073020339012146,-0.48853737115859985,-0.5113373398780823
87,bl-property,can dax,mammal.n.01,2,0.4050459563732147,0.4567558169364929,0.4163168668746948,0.46721455454826355,0.27626168727874756,0.27401313185691833,1,-0.13516777753829956,-0.4238312244415283,-0.3789863884449005
88,bl-property,can dax,mammal.n.01,3,0.44524168968200684,0.4770822525024414,0.43563660979270935,0.460736483335495,0.27898386120796204,0.26881855726242065,1,-0.1343105584383011,-0.33490118384361267,-0.4158928394317627
89,bl-property,can dax,mammal.n.01,4,0.46638739109039307,0.4933893382549286,0.4539332389831543,0.4669514000415802,0.2925252914428711,0.2763665020465851,4,-0.04676034674048424,-0.0876384824514389,-0.08442448824644089
90,bl-property,can dax,mammal.n.01,5,0.47684934735298157,0.49964070320129395,0.4551257789134979,0.46306079626083374,0.2897172272205353,0.26760363578796387,2,-0.08965384215116501,-0.21686354279518127,-0.259492963552475
91,bl-property,can dax,mammal.n.01,1,0.3466794490814209,0.4061543345451355,0.362091988325119,0.4541548192501068,0.2727835476398468,0.29404985904693604,1,-0.1527363359928131,-0.45025649666786194,-0.4835756719112396
92,bl-property,can dax,mammal.n.01,2,0.41541948914527893,0.44118788838386536,0.4039396643638611,0.4541623294353485,0.27696630358695984,0.2675939202308655,1,-0.13996447622776031,-0.38280317187309265,-0.3952409327030182
93,bl-property,can dax,mammal.n.01,3,0.45643386244773865,0.5003175139427185,0.4575135409832001,0.43142518401145935,0.27455317974090576,0.27475640177726746,2,-0.10280472040176392,-0.2737436592578888,-0.27307841181755066
94,bl-property,can dax,mammal.n.01,4,0.4757714867591858,0.5330879092216492,0.47370442748069763,0.44673895835876465,0.2817714512348175,0.2705423831939697,1,-0.13547441363334656,-0.3656750023365021,-0.36435675621032715
95,bl-property,can dax,mammal.n.01,5,0.4895206093788147,0.5356317758560181,0.47651979327201843,0.4520242512226105,0.2821189761161804,0.29357588291168213,2,-0.08913331478834152,-0.25231418013572693,-0.2882747948169708
96,bl-property,can dax,mammal.n.01,1,0.2680997848510742,0.2647082209587097,0.23149041831493378,0.4812409281730652,0.32216042280197144,0.28468313813209534,2,-0.10205990821123123,-0.23711666464805603,-0.2833538353443146
97,bl-property,can dax,mammal.n.01,2,0.37851807475090027,0.38230985403060913,0.3427860736846924,0.4658220112323761,0.2998654842376709,0.28294122219085693,1,-0.15809904038906097,-0.439536452293396,-0.4907010495662689
98,bl-property,can dax,mammal.n.01,3,0.4371846914291382,0.4628187417984009,0.41715118288993835,0.4734097123146057,0.29400184750556946,0.28526169061660767,3,-0.0658237561583519,-0.14142973721027374,-0.21770375967025757
99,bl-property,can dax,mammal.n.01,4,0.46376675367355347,0.4887089729309082,0.44328412413597107,0.4613683521747589,0.27942562103271484,0.2744450569152832,2,-0.07533954083919525,-0.19952493906021118,-0.20841540396213531
100,bl-property,can dax,mammal.n.01,5,0.48223134875297546,0.5038267970085144,0.4560602903366089,0.465804785490036,0.28937190771102905,0.2905465364456177,1,-0.12179956585168839,-0.3679986298084259,-0.34350883960723877
101,bl-property,can dax,reptile.n.01,1,0.384802907705307,0.44061994552612305,0.32200586795806885,0.43944084644317627,0.3344666063785553,0.3303981423377991,3,-0.08763742446899414,-0.1861051470041275,-0.1078413650393486
102,bl-property,can dax,reptile.n.01,2,0.473127543926239,0.5160203576087952,0.3901236951351166,0.45152920484542847,0.24609215557575226,0.28129518032073975,1,-0.18059644103050232,-0.4144898056983948,-0.4956905245780945
103,bl-property,can dax,reptile.n.01,3,0.5488599538803101,0.5600734949111938,0.4976145923137665,0.4213230311870575,0.24899180233478546,0.21273691952228546,1,-0.18727940320968628,-0.20880421996116638,-0.5605621337890625
104,bl-property,can dax,reptile.n.01,4,0.5855286121368408,0.618270754814148,0.526548445224762,0.40535223484039307,0.20692236721515656,0.23286575078964233,2,-0.12388566881418228,-0.14513541758060455,-0.3061818778514862
105,bl-property,can dax,reptile.n.01,5,0.549895703792572,0.617016077041626,0.34659266471862793,0.35392671823501587,0.197109192609787,0.2823667824268341,2,-0.153235524892807,-0.20710501074790955,-0.07691240310668945
106,bl-property,can dax,reptile.n.01,1,0.384802907705307,0.44061994552612305,0.3309001922607422,0.43944084644317627,0.3344666063785553,0.27654677629470825,1,-0.17603658139705658,-0.45793208479881287,-0.3782448470592499
107,bl-property,can dax,reptile.n.01,2,0.49743014574050903,0.5340655446052551,0.4425882399082184,0.3988822400569916,0.27574583888053894,0.22305913269519806,2,-0.12764224410057068,-0.14510352909564972,-0.44542914628982544
108,bl-property,can dax,reptile.n.01,3,0.528823733329773,0.6144336462020874,0.46334171295166016,0.38822606205940247,0.2892865836620331,0.2646603286266327,1,-0.19383826851844788,-0.20263376832008362,-0.3948614001274109
109,bl-property,can dax,reptile.n.01,4,0.5749360918998718,0.6107399463653564,0.428621768951416,0.3716745376586914,0.25912782549858093,0.30669909715652466,1,-0.08037030696868896,-0.24206054210662842,-0.2185928374528885
110,bl-property,can dax,reptile.n.01,5,0.617881178855896,0.6196569800376892,0.5237925052642822,0.4136197566986084,0.2085597813129425,0.2083321511745453,3,-0.03625518083572388,-0.11587101221084595,-0.21693694591522217
111,bl-property,can dax,reptile.n.01,1,0.35229241847991943,0.42014336585998535,0.3183079957962036,0.2895173728466034,0.26790663599967957,0.22334891557693481,2,-0.068206287920475,-0.28562453389167786,-0.14460431039333344
112,bl-property,can dax,reptile.n.01,2,0.48644939064979553,0.5327094197273254,0.4067288339138031,0.35392671823501587,0.26599255204200745,0.27332526445388794,3,-0.0538797602057457,-0.09138794243335724,-0.11125590652227402
113,bl-property,can dax,reptile.n.01,3,0.5253262519836426,0.6107993125915527,0.5529146790504456,0.3826688528060913,0.2621135711669922,0.24260957539081573,4,-0.03918132185935974,-0.07574024796485901,-0.27012455463409424
114,bl-property,can dax,reptile.n.01,4,0.5861333608627319,0.622958242893219,0.4543057382106781,0.4213229715824127,0.2562926113605499,0.2532876431941986,3,-0.048404812812805176,-0.12317764759063721,-0.25814923644065857
115,bl-property,can dax,reptile.n.01,5,0.5650879144668579,0.6175888776779175,0.559981107711792,0.3988822400569916,0.20266762375831604,0.26737654209136963,4,-0.041877031326293945,-0.12092554569244385,-0.035353243350982666
116,bl-property,can dax,reptile.n.01,1,0.35229241847991943,0.42014336585998535,0.32775843143463135,0.2895173728466034,0.26790663599967957,0.22840744256973267,3,-0.049513597041368484,-0.19007200002670288,-0.13521935045719147
117,bl-property,can dax,reptile.n.01,2,0.48316460847854614,0.5548617243766785,0.38472646474838257,0.35617929697036743,0.2834624648094177,0.2864605784416199,4,-0.03540945053100586,-0.06723203510046005,-0.06840183585882187
118,bl-property,can dax,reptile.n.01,3,0.5253262519836426,0.6107993125915527,0.40977683663368225,0.3826688826084137,0.2621136009693146,0.30089548230171204,2,-0.07160630822181702,-0.19065193831920624,-0.23006165027618408
119,bl-property,can dax,reptile.n.01,4,0.5037286281585693,0.6435157656669617,0.4521454870700836,0.4056027829647064,0.3100704252719879,0.3075985908508301,2,-0.05962169170379639,-0.08119332790374756,-0.32052549719810486
120,bl-property,can dax,reptile.n.01,5,0.5681867003440857,0.6369938254356384,0.5150347948074341,0.4451272487640381,0.2076091766357422,0.3421553671360016,3,-0.03766930103302002,-0.09545338153839111,-0.04198038578033447
121,bl-property,can dax,reptile.n.01,1,0.3867371380329132,0.5427455902099609,0.4274355173110962,0.44790568947792053,0.32194894552230835,0.32231423258781433,1,-0.18518657982349396,-0.26049432158470154,-0.26500794291496277
122,bl-property,can dax,reptile.n.01,2,0.4558543562889099,0.6238308548927307,0.40677905082702637,0.42538970708847046,0.31208667159080505,0.2898271083831787,1,-0.28198695182800293,-0.42688456177711487,-0.26031187176704407
123,bl-property,can dax,reptile.n.01,3,0.528823733329773,0.6144336462020874,0.4914515018463135,0.38822606205940247,0.2892865836620331,0.28009793162345886,3,-0.05948394536972046,-0.06623256206512451,-0.15970684587955475
124,bl-property,can dax,reptile.n.01,4,0.4850369989871979,0.6516119837760925,0.45275235176086426,0.3809753954410553,0.3350472152233124,0.272165983915329,2,-0.13054759800434113,-0.07674387842416763,-0.3399619162082672
125,bl-property,can dax,reptile.n.01,5,0.5584464073181152,0.646080493927002,0.5529108047485352,0.3856584429740906,0.3125697374343872,0.3641734719276428,2,-0.17657038569450378,-0.11079287528991699,-0.04935532808303833
126,bl-property,can dax,reptile.n.01,1,0.384802907705307,0.44061994552612305,0.33000966906547546,0.43944084644317627,0.3344666063785553,0.3160195052623749,3,-0.0849277675151825,-0.17550913989543915,-0.17086660861968994
127,bl-property,can dax,reptile.n.01,2,0.481807142496109,0.5538357496261597,0.45188266038894653,0.43065351247787476,0.2531288266181946,0.28248131275177,2,-0.12372776120901108,-0.1955779641866684,-0.23153814673423767
128,bl-property,can dax,reptile.n.01,3,0.5108868479728699,0.6166558265686035,0.4548717439174652,0.4155162274837494,0.31107649207115173,0.32659873366355896,2,-0.10255903005599976,-0.06496435403823853,-0.09747035801410675
129,bl-property,can dax,reptile.n.01,4,0.4850369989871979,0.6516119837760925,0.3613632619380951,0.3809754550457001,0.33504724502563477,0.2156260758638382,2,-0.13206470012664795,-0.07864960283041,-0.31568267941474915
