trial,model,property,category,n,similarity_within,similarity_similar,similarity_random,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
1,rl-property,can dax,bird.n.01,1,0.5606144666671753,0.6028962135314941,0.5392488241195679,0.574038028717041,0.27749237418174744,0.3023340106010437,2,-0.40487247705459595,-0.6352253556251526,-0.6168134808540344
2,rl-property,can dax,bird.n.01,2,0.6548947691917419,0.7073206901550293,0.6392282843589783,0.5577679872512817,0.2822364866733551,0.27008530497550964,3,-0.2886557877063751,-0.4732629656791687,-0.43030381202697754
3,rl-property,can dax,bird.n.01,3,0.6811521649360657,0.7337101101875305,0.6730179786682129,0.5512843728065491,0.280878484249115,0.29498815536499023,4,-0.2085859626531601,-0.3454754650592804,-0.2859484851360321
4,rl-property,can dax,bird.n.01,4,0.6995710730552673,0.7516744136810303,0.6803693771362305,0.5336703062057495,0.2741755247116089,0.28398218750953674,4,-0.178016796708107,-0.27289053797721863,-0.2584708333015442
5,rl-property,can dax,bird.n.01,5,0.7140641212463379,0.7645843029022217,0.6914343237876892,0.5460655689239502,0.2809670865535736,0.2919793128967285,4,-0.15612928569316864,-0.25570979714393616,-0.251186341047287
6,rl-property,can dax,bird.n.01,1,0.5755698084831238,0.6141716241836548,0.5697453618049622,0.5648004412651062,0.28077802062034607,0.26629072427749634,2,-0.3669735789299011,-0.6152776479721069,-0.4812576174736023
7,rl-property,can dax,bird.n.01,2,0.6402174234390259,0.6798269152641296,0.6338820457458496,0.5668379068374634,0.28928565979003906,0.29216256737709045,3,-0.2330169826745987,-0.3752206563949585,-0.34393510222435
8,rl-property,can dax,bird.n.01,3,0.6863962411880493,0.7321335673332214,0.6785603165626526,0.5548825860023499,0.27314868569374084,0.2711755335330963,2,-0.32370635867118835,-0.583368718624115,-0.5533502697944641
9,rl-property,can dax,bird.n.01,4,0.7034670114517212,0.7525823712348938,0.6950969099998474,0.5631741285324097,0.28224217891693115,0.303197979927063,3,-0.20016257464885712,-0.3482247591018677,-0.2645832598209381
10,rl-property,can dax,bird.n.01,5,0.7137805819511414,0.7651098966598511,0.7008640766143799,0.5618208646774292,0.2829713523387909,0.28385069966316223,4,-0.12670212984085083,-0.23520299792289734,-0.19357958436012268
11,rl-property,can dax,bird.n.01,1,0.6288180947303772,0.6798752546310425,0.6108541488647461,0.5183522701263428,0.27449652552604675,0.2578023672103882,2,-0.3600614368915558,-0.5274346470832825,-0.6331287026405334
12,rl-property,can dax,bird.n.01,2,0.6713035702705383,0.7266849279403687,0.6618074774742126,0.5016584396362305,0.26681870222091675,0.27074068784713745,2,-0.3437802791595459,-0.5213819742202759,-0.4487099051475525
13,rl-property,can dax,bird.n.01,3,0.6860602498054504,0.7409329414367676,0.6765543818473816,0.5058244466781616,0.2629765570163727,0.2664874196052551,3,-0.2305908203125,-0.33955225348472595,-0.31706422567367554
14,rl-property,can dax,bird.n.01,4,0.7097502946853638,0.7620417475700378,0.6900327801704407,0.5197598338127136,0.2728247344493866,0.26618412137031555,3,-0.21367168426513672,-0.3184947669506073,-0.27418777346611023
15,rl-property,can dax,bird.n.01,5,0.7182618975639343,0.7676605582237244,0.7086781859397888,0.5323963165283203,0.2752194106578827,0.2648935317993164,3,-0.19368460774421692,-0.31752851605415344,-0.2842613458633423
16,rl-property,can dax,bird.n.01,1,0.5606144666671753,0.6028962135314941,0.546677827835083,0.574038028717041,0.27749237418174744,0.2752739191055298,1,-0.5952361226081848,-0.8742678761482239,-0.8234164118766785
17,rl-property,can dax,bird.n.01,2,0.6380128860473633,0.6906880140304565,0.6267439723014832,0.5550273060798645,0.28533995151519775,0.290287584066391,2,-0.3524106442928314,-0.4977409243583679,-0.45434364676475525
18,rl-property,can dax,bird.n.01,3,0.6811479926109314,0.7295835018157959,0.6581348776817322,0.5585129261016846,0.2796211540699005,0.29194965958595276,3,-0.19951072335243225,-0.3683410882949829,-0.3772592842578888
19,rl-property,can dax,bird.n.01,4,0.7067731618881226,0.7607669234275818,0.6907856464385986,0.533974289894104,0.26837003231048584,0.26843854784965515,2,-0.32698512077331543,-0.5660197138786316,-0.6430399417877197
